Time,Action Type,Player Hand,Board,Cards Action,Wrong Actions,Reward,Score,Roles,Round Number,Player,Players Status
2020-02-29_19:15:31.053844,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,2,0.1,[],"[2, 3, 1, 0]",3,0,"Pass_Pass_Pass_('Discard: ', [4, 4])"
2020-02-29_19:15:31.075328,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",3,1,"Pass_Pass_Pass_('Discard: ', [4, 4])"
2020-02-29_19:15:31.359477,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,200,0.1,[],"[2, 3, 1, 0]",3,2,"Pass_Pass_Pass_('Discard: ', [4, 4])"
2020-02-29_19:15:31.784622,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,302,0.1,[],"[2, 3, 1, 0]",4,3,Pass_Pass_Pass_Pass
2020-02-29_19:15:31.804814,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",4,0,Pass_Pass_Pass_Pass
2020-02-29_19:15:31.824490,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,0,0.1,[],"[2, 3, 1, 0]",4,1,Pass_Pass_Pass_Pass
2020-02-29_19:15:32.043110,PASS,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,130,0.1,[],"[2, 3, 1, 0]",4,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:32.043199,PIZZA_READY,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 6, 8, 8, 8, 10, 10, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",5,,Pass_Pass_Pass_Pass
2020-02-29_19:15:32.154342,DISCARD,"[0, 5, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[6],9,0.1,[],"[2, 3, 1, 0]",5,3,"Pass_Pass_Pass_('Discard: ', [6])"
2020-02-29_19:15:32.412186,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 3, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[5],153,0.1,[],"[2, 3, 1, 0]",5,0,"('Discard: ', [5])_Pass_Pass_('Discard: ', [6])"
2020-02-29_19:15:32.611714,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 1, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[3],110,0.1,[],"[2, 3, 1, 0]",5,1,"('Discard: ', [5])_('Discard: ', [3])_Pass_('Discard: ', [6])"
2020-02-29_19:15:32.774760,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[1],73,0.1,[],"[2, 3, 1, 0]",5,2,"('Discard: ', [5])_('Discard: ', [3])_('Discard: ', [1])_('Discard: ', [6])"
2020-02-29_19:15:33.364889,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,312,0.1,[],"[2, 3, 1, 0]",6,3,"('Discard: ', [5])_('Discard: ', [3])_('Discard: ', [1])_Pass"
2020-02-29_19:15:33.913465,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,364,0.1,[],"[2, 3, 1, 0]",6,0,"Pass_('Discard: ', [3])_('Discard: ', [1])_Pass"
2020-02-29_19:15:34.114262,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,114,0.1,[],"[2, 3, 1, 0]",6,1,"Pass_Pass_('Discard: ', [1])_Pass"
2020-02-29_19:15:34.328930,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,132,0.1,[],"[2, 3, 1, 0]",6,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:34.329016,PIZZA_READY,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,[],"[2, 3, 1, 0]",7,,Pass_Pass_Pass_Pass
2020-02-29_19:15:34.433777,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 6, 8, 8, 8, 10, 10, 10]","[9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[9],9,0.1,[],"[2, 3, 1, 0]",7,2,"Pass_Pass_('Discard: ', [9])_Pass"
2020-02-29_19:15:34.546681,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[6],10,0.1,[],"[2, 3, 1, 0]",7,3,"Pass_Pass_('Discard: ', [9])_('Discard: ', [6])"
2020-02-29_19:15:35.104235,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,364,0.1,[],"[2, 3, 1, 0]",7,0,"Pass_Pass_('Discard: ', [9])_('Discard: ', [6])"
2020-02-29_19:15:35.246587,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 4, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,55,0.1,[],"[2, 3, 1, 0]",7,1,"Pass_Pass_('Discard: ', [9])_('Discard: ', [6])"
2020-02-29_19:15:35.634308,DISCARD,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[4],233,0.1,[],"[2, 3, 1, 0]",8,2,"Pass_Pass_('Discard: ', [4])_('Discard: ', [6])"
2020-02-29_19:15:35.810413,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,76,0.1,[],"[2, 3, 1, 0]",8,3,"Pass_Pass_('Discard: ', [4])_Pass"
2020-02-29_19:15:36.003882,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,101,0.1,[],"[2, 3, 1, 0]",8,0,"Pass_Pass_('Discard: ', [4])_Pass"
2020-02-29_19:15:36.305610,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,220,0.1,[],"[2, 3, 1, 0]",8,1,"Pass_Pass_('Discard: ', [4])_Pass"
2020-02-29_19:15:36.572490,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,181,0.1,[],"[2, 3, 1, 0]",9,2,Pass_Pass_Pass_Pass
2020-02-29_19:15:36.993062,PASS,"[0, 0, 7, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 12, 12]_[0, 0, 0, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11]_[0, 0, 0, 0, 0, 0, 5, 6, 6, 7, 7, 7, 8, 8, 9, 11, 11]_[0, 0, 0, 0, 0, 0, 0, 4, 5, 5, 5, 8, 8, 8, 10, 10, 10]","[4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,294,0.1,[],"[2, 3, 1, 0]",9,3,Pass_Pass_Pass_Pass
